"Reference","Value","Exclude from BOM","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty","Mouser Price QTY1","Mouser Price QTY10"
"F2","0ZCF0100AF2A","","BelFuse","0ZCF0100AF2A","530-0ZCF0100AF2A","https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCF0100AF2A?qs=jyPKP7YLNfDyY7GbSCl%252BVQ%3D%3D","1","0.55","0.454"
"IC1","M24C08-RMN6TP","","STMicroelectronics","M24C08-RMN6TP","511-M24C08-RMN6TP","https://www.mouser.com/ProductDetail/STMicroelectronics/M24C08-RMN6TP?qs=%252B9pWl1iD4MWbThyGTUpSoQ%3D%3D","1","0.19","0.175"
"J1","Bird 3 24-pin Connector","","Molex","87832-6123","538-87832-6123","https://www.mouser.com/ProductDetail/Molex/87832-6123?qs=Vr3ZXvgdfhaw8VVGfNJm1w%3D%3D","1","2.05","1.79"
"J2","TXW154028S0 Connector","","Hirose","FH34SRJ-30S-0.5SH(50)","798-FH34SRJ30S05SH50","https://www.mouser.com/ProductDetail/Hirose-Connector/FH34SRJ-30S-0.5SH50?qs=vnk2wBG9e16HHwHqXDE2%252Bg%3D%3D","1","1.24","1.05"
"J3","87832-2220","","Molex","87832-6062","538-87832-6062","https://www.mouser.com/ProductDetail/Molex/87832-6062?qs=yd8XiKYcH9k38KQb4jjFuQ%3D%3D","1","3.27","2.98"
"J4","~","","Adafruit","4090","485-4090","https://www.mouser.com/ProductDetail/Adafruit/4090?qs=2WXlatMagcFDROXrdbBXdg%3D%3D","1","2.95","2.95"
"L1","100u","","Bourns","SRR1240-101M","652-SRR1240-101M","https://www.mouser.com/ProductDetail/Bourns/SRR1240-101M?qs=y9m3SKnhpLNdXTkYqTD5yw%3D%3D","1","0.64","0.634"
"L3","10u","","Bourns","SRR1260-100M","652-SRR1260-100M","https://www.mouser.com/ProductDetail/Bourns/SRR1260-100M?qs=%2FPiZ59IM4y0arRCchlmf7Q%3D%3D","1","1.27","0.909"
"L4","2u2","","Bourns","CVH252009-2R2M","652-CVH252009-2R2M","https://www.mouser.com/ProductDetail/Bourns/CVH252009-2R2M?qs=FjNnSiuIA4jvXEq5Mb2YIA%3D%3D","1","0.11","0.107"
"Q1","2N7002A","","Diotec","2N7002A","637-2N7002A","https://www.mouser.com/ProductDetail/Diotec-Semiconductor/2N7002A?qs=OlC7AqGiEDkkJvTsYoVAvg%3D%3D","1","0.11","0.081"
"R1","4k7","","Vishay / Dale","CRCW08054K70JNEA","71-CRCW0805J-4.7K-E3","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW08054K70JNEA?qs=kkyyugUlSrPc3tCn%2F8R5yw%3D%3D","1","0.10","0.02"
"R2,R3","10k","","Vishay / Dale","CRCW080510K0JNEA","71-CRCW0805J-10K-E3","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW080510K0JNEA?qs=LOX6nxTstiZtNB6HA62jyQ%3D%3D","2","0.10","0.019"
"R5,R6","60","","Vishay / Dale","RCS080560R4FKEA","71-RCS080560R4FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/RCS080560R4FKEA?qs=AAB0DUhlpksv20rhg0ZRxw%3D%3D","2","0.13","0.043"
"R7","0.200Ω","","TE Connectivity / CGS","RLC73K2AR20FTDF","279-RLC73K2AR20FTDF","https://www.mouser.com/ProductDetail/TE-Connectivity-CGS/RLC73K2AR20FTDF?qs=9vOqFld9vZWQ3oqbYNtegw%3D%3D","1","0.26","0.221"
"R11,R12","100k","","Vishay / Dale","RCS0805100KFKEA","71-RCS0805100KFKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/RCS0805100KFKEA?qs=NKmfXavxMay%252BH0mbX9hKBw%3D%3D","2","0.13","0.063"
"R13","43k2","","Vishay / Dale","CRCW080543K2FKEAC","71-CRCW080543K2FKEAC","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW080543K2FKEAC?qs=E3Y5ESvWgWN6ntyROLRvBg%3D%3D","1","0.11","0.052"
"S1","PTS636_SK43_SMTR_LFS","","C & K COMPONENTS","PTS636 SK43 SMTR LFS","611-PTS636SK43SMTRLF","https://www.mouser.com/ProductDetail/CK/PTS636-SK43-SMTR-LFS?qs=vLWxofP3U2wsQpQ593zsYw%3D%3D","1","0.16","0.148"
"SW1,SW2","-- mixed values --","","C & K COMPONENTS","PTS526 SK15 SMTR2 LFS","611-PTS526SK15SMR2L","https://www.mouser.com/ProductDetail/CK/PTS526-SK15-SMTR2-LFS?qs=UXgszm6BlbF5Ezp94JAQtw%3D%3D","2","0.14","0.13"
"U1","ESP32-S3-WROOM-1","","Espressif Systems","ESP32-S3-WROOM-1-N8R8","356-EP32S3WROOM1N8R8","https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1-N8R8?qs=7D1LtPJG0i3%2F28hKFavOpQ%3D%3D","1","3.62","3.62"
"U2","~","","Diodes","AL8862SP-13","621-AL8862SP-13","https://www.mouser.com/ProductDetail/Diodes-Incorporated/AL8862SP-13?qs=W0yvOO0ixfFVclRYoOMX8w%3D%3D","1","0.93","0.748"
"U3","SN65HVD231","","Texas Instruments","SN65HVD231DRG4","595-SN65HVD231DRG4","https://www.mouser.com/ProductDetail/Texas-Instruments/SN65HVD231DRG4?qs=QViXGNcIEAtYBoUJPHGedA%3D%3D","1","2.51","2.25"
"U4","LMR36520ADDAR","","Texas Instruments","LMR36520ADDAR","595-LMR36520ADDAR","https://www.mouser.com/ProductDetail/Texas-Instruments/LMR36520ADDAR?qs=vHuUswq2%252Bsxe%2FiIOFannaw%3D%3D","1","2.72","2.39"
"U5","LM3519MK-20_NOPB","","Texas Instruments","LM3519MK-20/NOPB","926-LM3519MK-20/NOPB","https://www.mouser.com/ProductDetail/Texas-Instruments/LM3519MK-20-NOPB?qs=QbsRYf82W3GbfCEf8%2FkE2A%3D%3D","1","2.02","1.72"
